tool1,tool2,strategy,combination_name,precision,recall,f1_score,accuracy,specificity,tp,tn,fp,fn,total
sap_RF,packj_static,union,sap_RF_packj_static_union,0.5187170052791553,0.98691218992543,0.6800188748492634,0.5511509891887917,0.14360945061201252,6485,1009,6017,86,13597
sap_RF,packj_static,intersection,sap_RF_packj_static_intersection,0.9992956092979572,0.6476944148531426,0.7859649122807016,0.8295212179157168,0.9995730145175064,4256,7023,3,2315,13597
sap_RF,sap_DT,union,sap_RF_sap_DT_union,0.9988331388564761,0.6513468269669761,0.7885040530582167,0.8311143802868701,0.9992881548974943,4280,7019,5,2291,13595
sap_RF,sap_DT,intersection,sap_RF_sap_DT_intersection,0.9988218661639963,0.6451072896058438,0.7839112343966713,0.8280985656491358,0.9992881548974943,4239,7019,5,2332,13595
sap_RF,socketai,union,sap_RF_socketai_union,0.9894209354120267,0.8111685940353013,0.8914715719063545,0.9045307443365695,0.991884965831435,5331,6967,57,1241,13596
sap_RF,socketai,intersection,sap_RF_socketai_intersection,1.0,0.2740413877054169,0.4301922847247104,0.6490879670491321,1.0,1801,7024,0,4771,13596
sap_RF,ossgadget,union,sap_RF_ossgadget_union,0.5337402792875658,0.9712416311625076,0.6888996816145918,0.5759782288908503,0.2061503416856492,6383,1448,5576,189,13596
sap_RF,ossgadget,intersection,sap_RF_ossgadget_intersection,0.9989698686582539,0.5902312842361533,0.7420373027259684,0.8016328331862312,0.9994305239179955,3879,7020,4,2693,13596
sap_RF,genie,union,sap_RF_genie_union,0.9974768713204374,0.721960127834424,0.8376445660810452,0.8647296800294226,0.9982915717539863,4744,7012,12,1827,13595
sap_RF,genie,intersection,sap_RF_genie_intersection,1.0,0.38015522751483793,0.5508876392104973,0.7004045605001838,1.0,2498,7024,0,4073,13595
sap_RF,packj_trace,union,sap_RF_packj_trace_union,0.5799723119520074,0.9563232384720742,0.7220498678616568,0.6441338727473336,0.3520785876993166,6284,2473,4551,287,13595
sap_RF,packj_trace,intersection,sap_RF_packj_trace_intersection,0.9995177236556547,0.6308020088266626,0.7734651987311065,0.8214049282824568,0.9997152619589977,4145,7022,2,2426,13595
sap_RF,sap_XGB,union,sap_RF_sap_XGB_union,0.945710805637724,0.8271191599452138,0.8824484494236077,0.8934902537697683,0.9555808656036446,5435,6712,312,1136,13595
sap_RF,sap_XGB,intersection,sap_RF_sap_XGB_intersection,0.9992951127819549,0.6472378633389134,0.7856285212893692,0.8292754689223979,0.9995728929384966,4253,7021,3,2318,13595
sap_RF,guarddog,union,sap_RF_guarddog_union,0.9531908001295757,0.8954656116859403,0.9234269574768554,0.9282141806413651,0.9588553530751709,5885,6735,289,687,13596
sap_RF,guarddog,intersection,sap_RF_guarddog_intersection,0.9988257397839361,0.6471393791844188,0.7854108956602032,0.8290673727566932,0.9992881548974943,4253,7019,5,2319,13596
packj_static,sap_DT,union,packj_static_sap_DT_union,0.5187170052791553,0.98691218992543,0.6800188748492634,0.5511509891887917,0.14360945061201252,6485,1009,6017,86,13597
packj_static,sap_DT,intersection,packj_static_sap_DT_intersection,0.9992887624466572,0.6414548774920104,0.7813513764018909,0.8265058468779878,0.9995730145175064,4215,7023,3,2356,13597
packj_static,socketai,union,packj_static_socketai_union,0.5192015968063872,0.9934311029636419,0.6819778721619213,0.5531240789861479,0.14289780814118985,6503,1004,6022,43,13572
packj_static,socketai,intersection,packj_static_socketai_intersection,0.9842381786339754,0.4292697830736327,0.5978087437506647,0.7214117300324197,0.9935952177625961,2810,6981,45,3736,13572
packj_static,ossgadget,union,packj_static_ossgadget_union,0.4876538604998135,0.9986251145737856,0.6553054984712546,0.4932950191570881,0.022487902077996016,6537,158,6868,9,13572
packj_static,ossgadget,intersection,packj_static_ossgadget_intersection,0.5557019194580354,0.9022303696914146,0.6877838593222313,0.6049218980253463,0.32792485055508114,5906,2304,4722,640,13572
packj_static,genie,union,packj_static_genie_union,0.5197988184576082,0.9948051948051948,0.6828168423260449,0.5542701348463636,0.14389410760034158,6511,1011,6015,34,13571
packj_static,genie,intersection,packj_static_genie_intersection,0.9976019184652278,0.4449197860962567,0.6153846153846154,0.7317810036106404,0.9990037005408483,2912,7019,7,3633,13571
packj_static,packj_trace,union,packj_static_packj_trace_union,0.5124772241147112,0.9883880825057295,0.6749791318864774,0.5409328715643652,0.12411044691147168,6469,872,6154,76,13571
packj_static,packj_trace,intersection,packj_static_packj_trace_intersection,0.5820853080568721,0.9382734912146676,0.7184556887978941,0.6453466951587945,0.37247366922857955,6141,2617,4409,404,13571
packj_static,sap_XGB,union,packj_static_sap_XGB_union,0.5187939859245042,0.9872165576015827,0.6801572739187418,0.5512980804589248,0.14360945061201252,6487,1009,6017,84,13597
packj_static,sap_XGB,intersection,packj_static_sap_XGB_intersection,0.9458699472759227,0.8190534165271648,0.8779055541962318,0.8899021843053615,0.9561628237973242,5382,6718,308,1189,13597
packj_static,guarddog,union,packj_static_guarddog_union,0.5188514158447344,0.9964864039107852,0.6823935558112774,0.5526083112290009,0.1390549387987475,6523,977,6049,23,13572
packj_static,guarddog,intersection,packj_static_guarddog_intersection,0.9578582052553297,0.8854262144821264,0.9202190997856633,0.9259504862953138,0.9637062339880444,5796,6771,255,750,13572
sap_DT,socketai,union,sap_DT_socketai_union,0.9893953488372093,0.8091905051734631,0.8902653385787226,0.9035745807590467,0.991884965831435,5318,6967,57,1254,13596
sap_DT,socketai,intersection,sap_DT_socketai_intersection,1.0,0.269780888618381,0.4249251048532055,0.6470285378052368,1.0,1773,7024,0,4799,13596
sap_DT,ossgadget,union,sap_DT_ossgadget_union,0.5335452568178016,0.9704808277541084,0.6885458274856958,0.5756104736687261,0.2061503416856492,6378,1448,5576,194,13596
sap_DT,ossgadget,intersection,sap_DT_ossgadget_intersection,0.998960228749675,0.5847534996956787,0.7376907572703716,0.7989849955869374,0.9994305239179955,3843,7020,4,2729,13596
sap_DT,genie,union,sap_DT_genie_union,0.9974662162162162,0.718916451072896,0.8355885734500752,0.8632585509378448,0.9982915717539863,4724,7012,12,1847,13595
sap_DT,genie,intersection,sap_DT_genie_intersection,1.0,0.37695936691523363,0.5475243147656941,0.6988598749540272,1.0,2477,7024,0,4094,13595
